index,Date,Open,High,Low,Close,Ticker,Event_date,Type,Price Change,Percent Change
7779,2014-04-26,68.08235533553221,69.08832364056785,66.4080812763376,66.43622589111328,OXY,2014-04-27,Domestic Natural Disaster,-1.646129444418932,-2.4178503171728787
8276,2014-04-21,32.92654951498012,33.952727346352454,32.52645406430787,33.61190414428711,MPC,2014-04-27,Domestic Natural Disaster,0.6853546293069925,2.081465077278099
9373,2014-04-26,79.07666884522789,80.09737099366944,76.3785327259324,76.79788970947266,EOG,2014-04-27,Domestic Natural Disaster,-2.2787791357552294,-2.8817338527693295
380,2007-04-14,43.92521641567406,45.14724924749622,43.58576429006833,45.12461853027344,XOM,2007-04-16,Domestic Terrorism,1.1994021145993798,2.730554821288009
1476,2007-04-14,41.49597179866412,42.23725758649668,41.189788093011394,42.140567779541016,CVX,2007-04-16,Domestic Terrorism,0.6445959808768933,1.5533941077568514
2572,2007-04-14,30.68594106812289,30.92879071325088,29.85330844319685,30.898435592651367,COP,2007-04-16,Domestic Terrorism,0.21249452452847706,0.6924816940003192
3668,2007-04-14,29.12564155762933,29.42163579732037,28.77890784477874,29.03684425354004,BP,2007-04-16,Domestic Terrorism,-0.08879730408929021,-0.3048767317746179
4764,2007-04-14,29.57213790230248,29.95597076416016,29.444195784207228,29.95597076416016,SHEL,2007-04-16,Domestic Terrorism,0.3838328618576803,1.2979543891136636
6316,2007-04-14,37.7069067480278,37.7069067480278,35.37166900745888,36.48395156860352,VLO,2007-04-16,Domestic Terrorism,-1.2229551794242752,-3.2433187574799938
7412,2007-04-14,31.1963103214208,31.408448821668607,30.365945550334885,31.34177589416504,OXY,2007-04-16,Domestic Terrorism,0.14546557274423932,0.46629095314632796
9006,2007-04-14,29.139246940120945,29.47300272123313,27.68664552821901,28.058330535888672,EOG,2007-04-16,Domestic Terrorism,-1.0809164042322728,-3.709486406609883
162,2003-02-08,17.374688830825534,17.53523063471655,16.7377034420209,17.31772232055664,XOM,2003-02-14,Domestic Natural Disaster,-0.05696651026889299,-0.32787067914462503
1258,2003-02-08,14.861134109069354,15.296378623797844,14.481751049408404,14.83320426940918,CVX,2003-02-14,Domestic Natural Disaster,-0.027929839660174594,-0.18793881715346178
2354,2003-02-08,9.460866702210977,9.6307513110228,9.246069284166168,9.513588905334473,COP,2003-02-14,Domestic Natural Disaster,0.05272220312349596,0.557266102387585
3450,2003-02-08,13.753167057288769,14.15831630633908,13.650967748469284,14.07071590423584,BP,2003-02-14,Domestic Natural Disaster,0.3175488469470711,2.3089143440512463
4546,2003-02-08,14.170041850968431,14.240998768307492,13.574005910745312,13.946529388427734,SHEL,2003-02-14,Domestic Natural Disaster,-0.2235124625406968,-1.5773592265390601
6098,2003-02-08,5.079766086609927,5.091828420157254,4.759432123063149,4.78757905960083,VLO,2003-02-14,Domestic Natural Disaster,-0.2921870270090965,-5.7519779853503605
7194,2003-02-08,8.0430827488572,8.08738199068986,7.874191889370186,8.007089614868164,OXY,2003-02-14,Domestic Natural Disaster,-0.03599313398903625,-0.4475042109214944
8788,2003-02-08,7.334046950834104,7.460946550364826,7.05598805766183,7.25566816329956,EOG,2003-02-14,Domestic Natural Disaster,-0.07837878753454408,-1.068697651650976
931,2017-11-04,62.43520321252784,63.064799132487096,61.77561999916017,62.165374755859375,XOM,2017-11-05,Domestic Terrorism,-0.26982845666846345,-0.43217358602962225
2027,2017-11-04,90.1081164392125,92.16223876827532,89.81131897528982,91.52178955078124,CVX,2017-11-05,Domestic Terrorism,1.413673111568741,1.5688632361130463
3123,2017-11-04,44.132282673962365,45.13964339219105,43.70769503386038,44.11563491821289,COP,2017-11-05,Domestic Terrorism,-0.016647755749474413,-0.03772239898050058
4219,2017-11-04,29.37519466894457,30.09961378661738,29.02023084881108,29.194089889526367,BP,2017-11-05,Domestic Terrorism,-0.18110477941820236,-0.6165228229437614
5315,2017-11-04,49.14889291398807,50.35753635053923,48.69756444210046,48.88115692138672,SHEL,2017-11-05,Domestic Terrorism,-0.2677359926013523,-0.5447447068032595
5770,2017-10-30,72.57817796065164,74.82890689161711,71.55583777562667,74.16320037841797,PSX,2017-11-05,Domestic Terrorism,1.585022417766325,2.1838829002095466
6867,2017-11-04,62.37294801192375,63.12851317153809,61.702186144689,62.735313415527344,VLO,2017-11-05,Domestic Terrorism,0.36236540360359726,0.5809656512216232
7963,2017-11-04,57.968342090578815,58.47595097512404,57.35076117797193,57.6722412109375,OXY,2017-11-05,Domestic Terrorism,-0.2961008796413154,-0.5107975646062828
8460,2017-10-30,47.684560908418014,51.17327650635539,47.48078073359572,50.70050811767578,MPC,2017-11-05,Domestic Terrorism,3.0159472092577673,6.324787628956327
9557,2017-11-04,85.41230012524952,87.68670855029703,83.83645544275252,84.94929504394531,EOG,2017-11-05,Domestic Terrorism,-0.46300508130420326,-0.5420824408489733
300,2005-10-01,34.9395807395689,35.12651170613739,31.83323056524684,32.76788330078125,XOM,2005-10-02,Accident,-2.1716974387876533,-6.2155795599694095
1396,2005-10-01,33.444210513693385,33.56722260685422,30.245866762881988,31.265851974487305,CVX,2005-10-02,Accident,-2.17835853920608,-6.5134099616858165
2492,2005-10-01,29.38494470238568,29.619687730949128,25.461362276436454,26.660234451293945,COP,2005-10-02,Accident,-2.724710251091736,-9.272470234972143
3588,2005-10-01,28.58648058777102,28.63470856918686,26.18317623825434,26.47253799438477,BP,2005-10-02,Accident,-2.113942593386252,-7.3949032896710385
4684,2005-10-01,26.553614602189253,26.622259153810468,25.05553090454158,25.46336555480957,SHEL,2005-10-02,Accident,-1.0902490473796824,-4.105840442866845
6236,2005-10-01,31.277205792548244,31.90829318448741,27.30135957466329,29.55132102966309,VLO,2005-10-02,Accident,-1.7258847628851548,-5.518027327416648
7332,2005-10-01,25.47356884694059,25.659700764756945,22.25022479579245,22.923847198486328,OXY,2005-10-02,Accident,-2.5497216484542626,-10.009283205562646
8926,2005-10-01,28.673642930335927,29.548367981991795,24.865569860183346,26.04192543029785,EOG,2005-10-02,Accident,-2.631717500038075,-9.178176300904516
64,2001-03-24,19.247840474927216,20.015384996848297,19.10223006713689,19.990705490112305,XOM,2001-03-29,Accident,0.7428650151850889,3.859472007536461
1160,2001-03-24,19.289400100708008,19.48053544601317,18.746748162902342,19.289400100708008,CVX,2001-03-29,Accident,0.0,0.0
2256,2001-03-24,10.143026807777645,10.31083420056527,9.723507859295948,10.26422119140625,COP,2001-03-29,Accident,0.12119438362860535,1.1948542178324308
3352,2001-03-24,16.368606713244212,17.26646222184979,16.354793227308367,17.135236740112305,BP,2001-03-29,Accident,0.7666300268680928,4.683538680465668
4448,2001-03-24,18.665267129115264,19.174899166365137,18.41380402857136,18.58815193176269,SHEL,2001-03-29,Accident,-0.07711519735257255,-0.41314810454699247
6000,2001-03-24,4.526924120968096,4.898566986266502,4.508474195022597,4.67848014831543,VLO,2001-03-29,Accident,0.15155602734733353,3.3478808855078137
7096,2001-03-24,6.240297767788785,6.471998397357966,6.198643722023539,6.443361759185791,OXY,2001-03-29,Accident,0.2030639913970056,3.2540753494998715
8690,2001-03-24,8.045259720442646,8.185852584270068,7.270146899807996,7.627179622650146,EOG,2001-03-29,Accident,-0.4180800977925001,-5.196601630276487
143,2002-09-28,16.77151105257919,17.640236885916977,15.933446819018288,16.894155502319336,XOM,2002-10-02,Domestic Terrorism,0.12264444974014665,0.7312665469178813
1239,2002-09-28,16.344440527851983,17.00079715408172,15.706506621773276,16.328319549560547,CVX,2002-10-02,Domestic Terrorism,-0.016120978291436217,-0.09863279360321343
2335,2002-09-28,9.145674255286895,9.511733252536192,8.88420285067859,9.093379974365234,COP,2002-10-02,Domestic Terrorism,-0.052294280921660885,-0.5717925159146229
3431,2002-09-28,14.59696522610735,15.351918447217995,14.138213615389294,14.38023281097412,BP,2002-10-02,Domestic Terrorism,-0.21673241513323127,-1.4847772244164512
4527,2002-09-28,14.251642194876757,15.514671024801782,14.06715609984754,14.716408729553224,SHEL,2002-10-02,Domestic Terrorism,0.46476653467646756,3.261143721693658
6079,2002-09-28,3.715724164592584,3.770524354976079,3.169057905233354,3.190443277359009,VLO,2002-10-02,Domestic Terrorism,-0.525280887233575,-14.13670294041243
7175,2002-09-28,7.808586406324956,8.18721771269681,7.641220394088122,8.022595405578613,OXY,2002-10-02,Domestic Terrorism,0.21400899925365735,2.7406881107227044
8769,2002-09-28,6.644216240744172,7.014787317325294,6.450550576107583,6.512002468109131,EOG,2002-10-02,Domestic Terrorism,-0.13221377263504142,-1.9899077309415365
1021,2019-07-27,60.32969930606573,60.95813886027536,57.34866683399759,57.80790710449219,XOM,2019-08-03,Domestic Terrorism,-2.5217922015735397,-4.180017852865365
1022,2019-08-03,57.0263831571785,58.3396536375183,55.91454007316469,57.07472229003906,XOM,2019-08-03,Domestic Terrorism,0.04833913286056202,0.08476626113097105
2117,2019-07-27,103.12179381595551,104.18240548110651,98.40331085052075,100.82518768310548,CVX,2019-08-03,Domestic Terrorism,-2.2966061328500302,-2.227081248168404
2118,2019-08-03,99.53907729792626,103.46418301105923,97.6683828154637,102.23654174804688,CVX,2019-08-03,Domestic Terrorism,2.69746445012062,2.7099552490796674
3213,2019-07-27,50.46757108015757,51.83481332919168,48.4296073324406,48.55859375,COP,2019-08-03,Domestic Terrorism,-1.908977330157569,-3.782582139975675
3214,2019-08-03,47.76747345489428,47.905057407531785,44.9727967517336,46.4432258605957,COP,2019-08-03,Domestic Terrorism,-1.3242475942985763,-2.7722789139120634
4309,2019-07-27,31.292827995038525,32.205434919455634,30.516310183937144,30.804502487182617,BP,2019-08-03,Domestic Terrorism,-0.4883255078559081,-1.5605029623188165
4310,2019-08-03,30.003962899701147,30.244122080294517,29.379548419400457,29.467607498168945,BP,2019-08-03,Domestic Terrorism,-0.5363554015322016,-1.787615200449218
5405,2019-07-27,54.1096560675881,54.1096560675881,49.13824228834714,49.46854019165039,SHEL,2019-08-03,Domestic Terrorism,-4.641115875937707,-8.577241500371972
5406,2019-08-03,48.76559715648998,49.16364688620561,47.86786186105001,48.52845764160156,SHEL,2019-08-03,Domestic Terrorism,-0.237139514888419,-0.4862844478812236
5861,2019-07-29,85.39078737518629,87.5274384309617,83.31278294253212,83.38819122314453,PSX,2019-08-03,Domestic Terrorism,-2.002596152041761,-2.345213358020511
6957,2019-07-27,69.03354551866262,71.05355811995048,66.52084798666556,67.3912582397461,VLO,2019-08-03,Domestic Terrorism,-1.6422872789165268,-2.378969914666412
6958,2019-08-03,65.39588908091147,65.40410227273107,60.937078176993424,64.74718475341797,VLO,2019-08-03,Domestic Terrorism,-0.6487043274935047,-0.9919649944523138
8053,2019-07-27,47.34150364522879,49.61815495536503,46.17563721791726,46.98348236083984,OXY,2019-08-03,Domestic Terrorism,-0.3580212843889541,-0.7562524567701103
8054,2019-08-03,46.12973774584177,46.32251789894806,41.20005331950755,43.26556396484375,OXY,2019-08-03,Domestic Terrorism,-2.864173780998023,-6.208953098278139
8551,2019-07-29,48.49028842970876,50.24811434707152,45.73779004659347,45.97788238525391,MPC,2019-08-03,Domestic Terrorism,-2.512406044454849,-5.181256135642126
9647,2019-07-27,69.24227425020275,72.59483246162576,65.44490408809845,67.92431640625,EOG,2019-08-03,Domestic Terrorism,-1.3179578439527546,-1.90340057172356
9648,2019-08-03,66.10388061444644,67.24061798127767,61.64752876143964,65.3790054321289,EOG,2019-08-03,Domestic Terrorism,-0.7248751823175326,-1.0965697861906119
830,2015-11-28,57.30810768170546,58.173855242663954,54.21817199756845,55.50623321533203,XOM,2015-12-02,Domestic Terrorism,-1.8018744663734267,-3.1441876887319404
1926,2015-11-28,65.79570161305448,67.28380167933395,62.78320973387168,65.12061309814453,CVX,2015-12-02,Domestic Terrorism,-0.6750885149099446,-1.0260374133254941
3022,2015-11-28,42.479430468397176,43.46381781157392,39.82000173144285,40.63767623901367,COP,2015-12-02,Domestic Terrorism,-1.841754229383504,-4.335637764149611
4118,2015-11-28,22.288244448776783,22.35845408857025,20.596841245095018,20.85214614868164,BP,2015-12-02,Domestic Terrorism,-1.4360983000951428,-6.443299306931095
5214,2015-11-28,33.901694694128,34.15077314277544,32.195165904710926,32.60244369506836,SHEL,2015-12-02,Domestic Terrorism,-1.2992509990596375,-3.8324072315024313
5670,2015-11-30,69.73965253809382,70.01684519036453,66.07624216360266,67.57456970214844,PSX,2015-12-02,Domestic Terrorism,-2.165082835945384,-3.1045219715752856
6766,2015-11-28,52.32324328548778,52.86117932532007,50.02805170440397,51.20433807373047,VLO,2015-12-02,Domestic Terrorism,-1.1189052117573084,-2.1384477366058934
7862,2015-11-28,58.16170476848605,59.637772915823625,53.81851295006299,55.42595672607422,OXY,2015-12-02,Domestic Terrorism,-2.735748042411828,-4.703693011237434
8360,2015-11-30,45.11495976592417,46.13785405935614,41.77709865481908,42.784610748291016,MPC,2015-12-02,Domestic Terrorism,-2.3303490176331536,-5.165357632421723
9456,2015-11-28,65.91319254209516,67.69678835844765,62.78589230221654,64.37753295898438,EOG,2015-12-02,Domestic Terrorism,-1.5356595831107853,-2.3298212753540093
97,2001-11-10,19.77282014401477,20.3650011820992,18.46299601595341,18.83938217163086,XOM,2001-11-12,Domestic Natural Disaster,-0.9334379723839099,-4.720813549029634
1193,2001-11-10,19.80461783571482,20.098679579815503,18.3788632553718,18.59049797058105,CVX,2001-11-12,Domestic Natural Disaster,-1.2141198651337675,-6.13048873351282
