Date,Open,High,Low,Close,Ticker,Event_date,Type,Price Change,Percent Change
2014-04-26,34.194971155269045,35.1746490228299,33.786063064813355,33.81161880493164,MSFT,2014-04-27,Domestic Natural Disaster,-0.3833523503374039,-1.121078150926686
2014-04-21,26.73160743713379,26.787954330444336,25.700439453125,25.73833465576172,GOOG,2014-04-27,Domestic Natural Disaster,-0.9932727813720703,-3.715724105660332
2014-04-26,19.97556440016089,20.38011399195884,19.85343649619915,20.15875625610352,INTC,2014-04-27,Domestic Natural Disaster,0.18319185594262777,0.9170797494019858
2014-04-26,17.33843911984995,17.40584569402429,17.0688142516817,17.1811580657959,CSCO,2014-04-27,Domestic Natural Disaster,-0.15728105405405302,-0.9071234899916073
2014-04-26,123.5294767226543,127.22618992511742,123.16756334158326,123.72335815429688,IBM,2014-04-27,Domestic Natural Disaster,0.19388143164258054,0.1569515526062487
2014-04-26,34.37089061260148,35.63331750132872,34.28442428265322,35.28744888305664,ORCL,2014-04-27,Domestic Natural Disaster,0.9165582704551625,2.666670121486822
2014-04-21,13.138667106628418,14.621999740600586,12.93333339691162,13.32333278656006,TSLA,2014-04-27,Domestic Natural Disaster,0.1846656799316424,1.4055130435451793
2007-04-14,2.74926171866038,2.8017762343252968,2.719817203460015,2.761404037475586,AAPL,2007-04-16,Domestic Terrorism,0.01214231881520611,0.4416574359869471
2007-04-14,2.188499927520752,2.2660000324249268,2.183500051498413,2.247499942779541,AMZN,2007-04-16,Domestic Terrorism,0.05900001525878906,2.695911227451005
2007-04-14,20.689141008178563,21.050839272727945,20.407015423586863,20.99296760559082,MSFT,2007-04-16,Domestic Terrorism,0.30382659741225737,1.4685317157060922
2007-04-09,11.780344009399414,11.780842781066896,11.512846946716309,11.61371898651123,GOOG,2007-04-16,Domestic Terrorism,-0.1666250228881836,-1.4144325730660772
2007-04-16,11.667765617370604,12.266522407531738,11.66004467010498,12.01695728302002,GOOG,2007-04-16,Domestic Terrorism,0.34919166564941584,2.9927895117257948
2007-04-14,12.471469706529607,13.56524444242164,12.459248486295351,13.540802001953123,INTC,2007-04-16,Domestic Terrorism,1.069332295423516,8.574228383553324
2007-04-14,18.50860517545362,18.820899379655835,18.36980745721416,18.73068046569824,CSCO,2007-04-16,Domestic Terrorism,0.22207529024461792,1.1998488710491129
2007-04-14,54.16647368451815,55.68899721755729,53.55061916801112,53.93267440795898,IBM,2007-04-16,Domestic Terrorism,-0.23379927655917498,-0.4316309714398104
2007-04-14,15.364786459318376,15.677345659774131,15.257857197089164,15.627994537353516,ORCL,2007-04-16,Domestic Terrorism,0.2632080780351398,1.7130604368114102
2003-02-08,0.2164320146027744,0.223413443275979,0.2133960293368405,0.2226544469594955,AAPL,2003-02-14,Domestic Natural Disaster,0.006222432356721097,2.8750055153075924
2003-02-08,1.0700000524520874,1.0800000429153442,0.9804999828338624,1.003000020980835,AMZN,2003-02-14,Domestic Natural Disaster,-0.06700003147125244,-6.261684877277385
2003-02-08,14.56737209554,15.096529020329651,14.318357421343586,15.03427505493164,MSFT,2003-02-14,Domestic Natural Disaster,0.46690295939164095,3.2051282573786226
2003-02-08,8.780022214945609,9.438378862714588,8.669325428590087,9.409247398376465,INTC,2003-02-14,Domestic Natural Disaster,0.6292251834308562,7.166555710528509
2003-02-08,8.966300022552051,9.507608968529729,8.869141735084597,9.493729591369627,CSCO,2003-02-14,Domestic Natural Disaster,0.5274295688175759,5.882354677971786
2003-02-08,42.28173322140096,43.30724501615079,40.7516975977873,42.47367477416992,IBM,2003-02-14,Domestic Natural Disaster,0.1919415527689594,0.4539585729938997
2003-02-08,9.385024506596276,9.985469084647931,9.33567337024375,9.623557090759276,ORCL,2003-02-14,Domestic Natural Disaster,0.23853258416299994,2.5416298486524678
2017-11-04,40.711308109089344,41.62534877315411,40.55778892049267,41.25453567504883,AAPL,2017-11-05,Domestic Terrorism,0.5432275659594836,1.3343407303539845
2017-11-04,55.45750045776367,56.777000427246094,55.4384994506836,56.26750183105469,AMZN,2017-11-05,Domestic Terrorism,0.8100013732910156,1.4605803842672482
2017-10-30,179.25999450683594,182.8999938964844,176.7100067138672,178.9199981689453,META,2017-11-05,Domestic Terrorism,-0.339996337890625,-0.18966660064114835
2017-11-04,78.52738200361267,79.18022676447586,77.31496821697536,78.21961975097656,MSFT,2017-11-05,Domestic Terrorism,-0.3077622526361097,-0.39191711831415826
2017-10-30,50.70000076293945,51.63249969482422,50.375,51.624000549316406,GOOG,2017-11-05,Domestic Terrorism,0.9239997863769531,1.8224847583283983
2017-11-04,39.54046681665479,39.95623711154614,38.50528938042872,38.674991607666016,INTC,2017-11-05,Domestic Terrorism,-0.8654752089887765,-2.1888340696681676
2017-11-04,28.869636113461556,29.029231735065693,28.28165915875586,28.550451278686523,CSCO,2017-11-05,Domestic Terrorism,-0.319184834775033,-1.1056074053742613
2017-11-04,110.16739085342743,110.2036885692766,108.25832563800888,108.27284240722656,IBM,2017-11-05,Domestic Terrorism,-1.8945484462008721,-1.719699841781204
2017-11-04,45.59515178781719,46.17760775858743,44.1754246892336,44.88528823852539,ORCL,2017-11-05,Domestic Terrorism,-0.7098635492917964,-1.5568838384292178
2017-10-30,21.27866744995117,22.173999786376957,19.5086669921875,20.4060001373291,TSLA,2017-11-05,Domestic Terrorism,-0.8726673126220668,-4.101137041004273
2005-10-01,1.6440326417082824,1.680155230968526,1.5344503380372614,1.5572168827056885,AAPL,2005-10-02,Accident,-0.08681575900259397,-5.280659081828533
2005-10-01,2.2664999961853027,2.3294999599456787,2.1665000915527344,2.186000108718872,AMZN,2005-10-02,Accident,-0.08049988746643066,-3.5517267858777095
2005-10-01,18.21653852812969,18.230709633629733,17.373378022341974,17.422975540161133,MSFT,2005-10-02,Accident,-0.7935629879685564,-4.3562776031415025
2005-09-26,7.957673072814941,7.993786811828613,7.611470222473144,7.881956100463867,GOOG,2005-10-02,Accident,-0.07571697235107422,-0.9514963942127639
2005-10-01,14.682844196645853,14.813410715289235,13.94692165777585,14.136837005615234,INTC,2005-10-02,Accident,-0.5460071910306183,-3.718674554589009
2005-10-01,12.443170523964362,12.575028248709677,12.144756300228156,12.234973907470703,CSCO,2005-10-02,Accident,-0.20819661649365884,-1.673179806486554
2005-10-01,44.89485544040481,45.59441465925281,44.044192144873534,45.05155563354492,IBM,2005-10-02,Accident,0.15670019314011085,0.3490381951404673
2005-10-01,10.215773713957317,10.339152309019484,9.746934111414696,9.853861808776855,ORCL,2005-10-02,Accident,-0.36191190518046135,-3.542677386109274
2001-03-24,0.3510569949659041,0.3604667095571867,0.3207012989078696,0.3349684476852417,AAPL,2001-03-29,Accident,-0.01608854728066239,-4.58288754002038
2001-03-24,0.5350000262260437,0.5899999737739563,0.4954999983310699,0.5115000009536743,AMZN,2001-03-29,Accident,-0.023500025272369385,-4.392527872968804
2001-03-24,17.781230133056642,18.22867903137207,16.769606536865236,17.022512435913086,MSFT,2001-03-29,Accident,-0.7587176971435561,-4.266958424507666
2001-03-24,17.06966595864919,17.187200734847515,14.646641341637546,15.225274085998535,INTC,2001-03-29,Accident,-1.8443918726506539,-10.805084745762713
2001-03-24,13.229106028560594,13.315854264813453,10.409788350342762,10.973651885986328,CSCO,2001-03-29,Accident,-2.2554541425742656,-17.049180327868857
